Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2013,4,15,13:36:03,22.3716,88.2501,35.0,3.2,INDIA-BANGLADESH BORDER REGION,1366032963
2013,4,9,21:46:30,25.58,91.68,10.0,3.1,INDIA-BANGLADESH BORDER REGION,1365543990
2013,4,8,10:10:55,23.0737,92.6046,10.0,3.5,INDIA-BANGLADESH BORDER REGION,1365415855
2013,3,17,22:18:36,15.3579,92.2184,10.0,3.5,BAY OF BENGAL,1363558716
2013,3,4,11:39:32,25.433,91.609,19.6,3.3,INDIA-BANGLADESH BORDER REGION,1362397172
2013,3,2,01:30:39,24.6998,92.198,41.5,5.2,INDIA-BANGLADESH BORDER REGION,1362187839
2013,2,27,12:27:13,25.647,90.671,10.0,3.6,INDIA-BANGLADESH BORDER REGION,1361968033
2013,2,19,21:05:11,25.3646,89.1179,10.0,4.1,INDIA-BANGLADESH BORDER REGION,1361307911
2013,1,15,03:04:28,26.393,89.769,10.0,3.5,INDIA-BANGLADESH BORDER REGION,1358219068
2013,1,13,20:41:02,23.866,92.345,16.4,3.2,INDIA-BANGLADESH BORDER REGION,1358109662
2012,12,30,08:16:43,24.2524,91.715,28.5,4.3,INDIA-BANGLADESH BORDER REGION,1356855403
2012,12,17,12:48:03,24.7118,91.5888,9.3,3.4,INDIA-BANGLADESH BORDER REGION,1355748483
2012,12,13,10:05:24,22.4224,92.7095,20.8,4.2,INDIA-BANGLADESH BORDER REGION,1355393124
2012,12,13,08:41:57,24.9228,88.836,35.0,3.6,INDIA-BANGLADESH BORDER REGION,1355388117
2012,11,27,15:23:54,24.834,90.506,10.0,2.9,BANGLADESH,1354029834
2012,11,25,06:01:45,23.6816,91.4683,45.3,4.5,INDIA-BANGLADESH BORDER REGION,1353823305
2012,11,14,22:10:04,23.2597,91.4261,29.9,3.5,INDIA-BANGLADESH BORDER REGION,1352931004
2012,11,14,14:40:50,21.464,89.177,39.4,3.7,BANGLADESH,1352904050
2012,11,6,08:47:15,25.71,91.423,15.6,2.5,INDIA-BANGLADESH BORDER REGION,1352191635
2012,10,29,00:34:57,25.645,91.839,10.0,3.4,INDIA-BANGLADESH BORDER REGION,1351470897
2012,10,23,15:08:03,24.881,92.601,39.8,2.8,INDIA-BANGLADESH BORDER REGION,1351004883
2012,10,18,05:32:18,25.67,91.785,11.5,3.2,INDIA-BANGLADESH BORDER REGION,1350538338
2012,9,20,01:38:23,24.189,91.704,12.3,3.0,INDIA-BANGLADESH BORDER REGION,1348105103
2012,9,10,19:22:14,23.2871,90.7116,35.0,3.9,BANGLADESH,1347304934
